amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
16S,A-W1,NA,NA,NA,NA,NA,NA,Site1,NA,A-W1_S36_L001_R1_001.fastq.gz,A-W1_S36_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W1
16S,A-W2,NA,NA,NA,NA,NA,NA,Site2,NA,A-W2_S72_L001_R1_001.fastq.gz,A-W2_S72_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W2
16S,A-W3,NA,NA,NA,NA,NA,NA,Site3,NA,A-W3_S97_L001_R1_001.fastq.gz,A-W3_S97_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W3
16S,A-W4,NA,NA,NA,NA,NA,NA,Site4,NA,A-W4_S133_L001_R1_001.fastq.gz,A-W4_S133_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W4
16S,A-W5,NA,NA,NA,NA,NA,NA,Site5,NA,A-W5_S169_L001_R1_001.fastq.gz,A-W5_S169_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W5
16S,A-W6,NA,NA,NA,NA,NA,NA,Site6,NA,A-W6_S110_L001_R1_001.fastq.gz,A-W6_S110_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,A-W6
16S,B-W1,NA,NA,NA,NA,NA,NA,Site1,NA,B-W1_S48_L001_R1_001.fastq.gz,B-W1_S48_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W1
16S,B-W2,NA,NA,NA,NA,NA,NA,Site2,NA,B-W2_S84_L001_R1_001.fastq.gz,B-W2_S84_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W2
16S,B-W3,NA,NA,NA,NA,NA,NA,Site3,NA,B-W3_S109_L001_R1_001.fastq.gz,B-W3_S109_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W3
16S,B-W4,NA,NA,NA,NA,NA,NA,Site4,NA,B-W4_S145_L001_R1_001.fastq.gz,B-W4_S145_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W4
16S,B-W5,NA,NA,NA,NA,NA,NA,Site5,NA,B-W5_S181_L001_R1_001.fastq.gz,B-W5_S181_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W5
16S,B-W6,NA,NA,NA,NA,NA,NA,Site6,NA,B-W6_S122_L001_R1_001.fastq.gz,B-W6_S122_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,B-W6
16S,C-W1,NA,NA,NA,NA,NA,NA,Site1,NA,C-W1_S60_L001_R1_001.fastq.gz,C-W1_S60_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W1
16S,C-W2,NA,NA,NA,NA,NA,NA,Site2,NA,C-W2_S96_L001_R1_001.fastq.gz,C-W2_S96_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W2
16S,C-W3,NA,NA,NA,NA,NA,NA,Site3,NA,C-W3_S121_L001_R1_001.fastq.gz,C-W3_S121_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W3
16S,C-W4,NA,NA,NA,NA,NA,NA,Site4,NA,C-W4_S157_L001_R1_001.fastq.gz,C-W4_S157_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W4
16S,C-W5,NA,NA,NA,NA,NA,NA,Site5,NA,C-W5_S98_L001_R1_001.fastq.gz,C-W5_S98_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W5
16S,C-W6,NA,NA,NA,NA,NA,NA,Site6,NA,C-W6_S134_L001_R1_001.fastq.gz,C-W6_S134_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,C-W6
16S,P1,NA,NA,NA,NA,NA,NA,NA,Positive,P1_S111_L001_R1_001.fastq.gz,P1_S111_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,P1
16S,R-001,1,Q001,D,1Burn_W4,1,GrandFir,NA,NA,R-001_S123_L001_R1_001.fastq.gz,R-001_S123_L001_R2_001.fastq.gz,3,11,72,3.2,9,NA,0.52090000000000003,0.92910000000000004,R-001
16S,R-002,1,Q002,D,1Burn_W3,1,Snowbrush,NA,NA,R-002_S25_L001_R1_001.fastq.gz,R-002_S25_L001_R2_001.fastq.gz,6,0,16,2.8,4.0999999999999996,0,0.22700000000000001,0.35470000000000002,R-002
16S,R-003,1,Q003,D,Sterile,NA,Snowbrush,NA,NA,R-003_S37_L001_R1_001.fastq.gz,R-003_S37_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.5242,0.90349999999999997,R-003
16S,R-004,1,Q004,ND,0Burn_W2,0,GrandFir,NA,NA,R-004_S135_L001_R1_001.fastq.gz,R-004_S135_L001_R2_001.fastq.gz,1,10,45,1.9,5.2,NA,0.21190000000000001,0.3397,R-004
16S,R-005,1,Q005,ND,3Burn_W6,3,GrandFir,NA,NA,R-005_S147_L001_R1_001.fastq.gz,R-005_S147_L001_R2_001.fastq.gz,1,6,63,2.4,5.2,NA,0.28160000000000002,0.46789999999999998,R-005
16S,R-006,1,Q006,D,Sterile,NA,GrandFir,NA,NA,R-006_S159_L001_R1_001.fastq.gz,R-006_S159_L001_R2_001.fastq.gz,1,6,47,2.6,6.4,NA,0.18260000000000001,0.18859999999999999,R-006
16S,R-007,1,Q007,ND,1Burn_W4,1,Snowbrush,NA,NA,R-007_S49_L001_R1_001.fastq.gz,R-007_S49_L001_R2_001.fastq.gz,1,0,33,3.4,5.0999999999999996,1,0.9163,1.8877999999999999,R-007
16S,R-008,1,Q008,ND,0Burn_W2,0,Snowbrush,NA,NA,R-008_S61_L001_R1_001.fastq.gz,R-008_S61_L001_R2_001.fastq.gz,1,0,30,2.6,4.2,0,0.50860000000000005,0.78749999999999998,R-008
16S,R-010,1,Q010,D,3Burn_W6,3,GrandFir,NA,NA,R-010_S171_L001_R1_001.fastq.gz,R-010_S171_L001_R2_001.fastq.gz,2,8,118,2.4,7.1,NA,0.55600000000000005,0.58020000000000005,R-010
16S,R-011,1,Q011,ND,3Burn_W5,3,GrandFir,NA,NA,R-011_S183_L001_R1_001.fastq.gz,R-011_S183_L001_R2_001.fastq.gz,1,12,55,2.9,7.4,NA,0.2878,0.6321,R-011
16S,R-012,1,Q012,D,0Burn_W2,0,Snowbrush,NA,NA,R-012_S73_L001_R1_001.fastq.gz,R-012_S73_L001_R2_001.fastq.gz,3,0,21,2.6,6.1,0,0.51259999999999994,0.82669999999999999,R-012
16S,R-013,1,Q013,ND,1Burn_W4,1,GrandFir,NA,NA,R-013_S100_L001_R1_001.fastq.gz,R-013_S100_L001_R2_001.fastq.gz,1,11,96,2.8,8,NA,0.69410000000000005,1.0553999999999999,R-013
16S,R-014,1,Q014,ND,3Burn_W5,3,Snowbrush,NA,NA,R-014_S85_L001_R1_001.fastq.gz,R-014_S85_L001_R2_001.fastq.gz,1,0,29,3.9,6.7,5,0.80059999999999998,1.5315000000000001,R-014
16S,R-015,1,Q015,ND,Sterile,NA,GrandFir,NA,NA,R-015_S112_L001_R1_001.fastq.gz,R-015_S112_L001_R2_001.fastq.gz,1,4,37,2.5,5.2,NA,0.154,0.2218,R-015
16S,R-016,1,Q016,ND,Sterile,NA,Snowbrush,NA,NA,R-016_S2_L001_R1_001.fastq.gz,R-016_S2_L001_R2_001.fastq.gz,1,0,37,2.8,6.5,0,0.72860000000000003,0.65720000000000001,R-016
16S,R-017,1,Q017,ND,3Burn_W6,3,Snowbrush,NA,NA,R-017_S14_L001_R1_001.fastq.gz,R-017_S14_L001_R2_001.fastq.gz,1,0,26,2.7,5.8,64,0.67069999999999996,0.64190000000000003,R-017
16S,R-018,1,Q018,D,3Burn_W6,3,Snowbrush,NA,NA,R-018_S26_L001_R1_001.fastq.gz,R-018_S26_L001_R2_001.fastq.gz,6,0,28,2.6,5.7,7,0.49130000000000001,0.73829999999999996,R-018
16S,R-019,1,Q019,D,3Burn_W5,3,Snowbrush,NA,NA,R-019_S38_L001_R1_001.fastq.gz,R-019_S38_L001_R2_001.fastq.gz,6,0,35,2.6,5.2,9,0.53190000000000004,1.5298,R-019
16S,R-020,1,Q020,D,0Burn_W1,0,Snowbrush,NA,NA,R-020_S50_L001_R1_001.fastq.gz,R-020_S50_L001_R2_001.fastq.gz,6,0,26,1.7,4.5999999999999996,2,0.42359999999999998,0.49380000000000002,R-020
16S,R-021,1,Q021,D,1Burn_W4,1,Snowbrush,NA,NA,R-021_S62_L001_R1_001.fastq.gz,R-021_S62_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.84389999999999998,1.0848,R-021
16S,R-022,1,Q022,ND,0Burn_W1,0,Snowbrush,NA,NA,R-022_S74_L001_R1_001.fastq.gz,R-022_S74_L001_R2_001.fastq.gz,1,NA,NA,NA,5.0999999999999996,0,0.51349999999999996,0.64549999999999996,R-022
16S,R-023,1,Q023,D,0Burn_W2,0,GrandFir,NA,NA,R-023_S124_L001_R1_001.fastq.gz,R-023_S124_L001_R2_001.fastq.gz,1,11,59,2.4,7.6,NA,0.37090000000000001,0.60770000000000002,R-023
16S,R-024,1,Q024,D,3Burn_W5,3,GrandFir,NA,NA,R-024_S136_L001_R1_001.fastq.gz,R-024_S136_L001_R2_001.fastq.gz,1,7,48,4,7.9,NA,0.44829999999999998,0.82899999999999996,R-024
16S,R-025,1,Q025,D,0Burn_W1,0,GrandFir,NA,NA,R-025_S148_L001_R1_001.fastq.gz,R-025_S148_L001_R2_001.fastq.gz,1,6,49,2.2000000000000002,6.5,NA,0.2379,0.39560000000000001,R-025
