amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
ITS2,F-A-W1,NA,NA,NA,NA,NA,NA,Site1,NA,F-A-W1_S228_L001_R1_001.fastq.gz,F-A-W1_S228_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W1
ITS2,F-A-W2,NA,NA,NA,NA,NA,NA,Site2,NA,F-A-W2_S264_L001_R1_001.fastq.gz,F-A-W2_S264_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W2
ITS2,F-A-W3,NA,NA,NA,NA,NA,NA,Site3,NA,F-A-W3_S289_L001_R1_001.fastq.gz,F-A-W3_S289_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W3
ITS2,F-A-W4,NA,NA,NA,NA,NA,NA,Site4,NA,F-A-W4_S325_L001_R1_001.fastq.gz,F-A-W4_S325_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W4
ITS2,F-A-W5,NA,NA,NA,NA,NA,NA,Site5,NA,F-A-W5_S361_L001_R1_001.fastq.gz,F-A-W5_S361_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W5
ITS2,F-A-W6,NA,NA,NA,NA,NA,NA,Site6,NA,F-A-W6_S302_L001_R1_001.fastq.gz,F-A-W6_S302_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-A-W6
ITS2,F-B-W1,NA,NA,NA,NA,NA,NA,Site1,NA,F-B-W1_S240_L001_R1_001.fastq.gz,F-B-W1_S240_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W1
ITS2,F-B-W2,NA,NA,NA,NA,NA,NA,Site2,NA,F-B-W2_S276_L001_R1_001.fastq.gz,F-B-W2_S276_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W2
ITS2,F-B-W3,NA,NA,NA,NA,NA,NA,Site3,NA,F-B-W3_S301_L001_R1_001.fastq.gz,F-B-W3_S301_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W3
ITS2,F-B-W4,NA,NA,NA,NA,NA,NA,Site4,NA,F-B-W4_S337_L001_R1_001.fastq.gz,F-B-W4_S337_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W4
ITS2,F-B-W5,NA,NA,NA,NA,NA,NA,Site5,NA,F-B-W5_S373_L001_R1_001.fastq.gz,F-B-W5_S373_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W5
ITS2,F-B-W6,NA,NA,NA,NA,NA,NA,Site6,NA,F-B-W6_S314_L001_R1_001.fastq.gz,F-B-W6_S314_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-B-W6
ITS2,F-C-W1,NA,NA,NA,NA,NA,NA,Site1,NA,F-C-W1_S252_L001_R1_001.fastq.gz,F-C-W1_S252_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W1
ITS2,F-C-W2,NA,NA,NA,NA,NA,NA,Site2,NA,F-C-W2_S288_L001_R1_001.fastq.gz,F-C-W2_S288_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W2
ITS2,F-C-W3,NA,NA,NA,NA,NA,NA,Site3,NA,F-C-W3_S313_L001_R1_001.fastq.gz,F-C-W3_S313_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W3
ITS2,F-C-W4,NA,NA,NA,NA,NA,NA,Site4,NA,F-C-W4_S349_L001_R1_001.fastq.gz,F-C-W4_S349_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W4
ITS2,F-C-W5,NA,NA,NA,NA,NA,NA,Site5,NA,F-C-W5_S290_L001_R1_001.fastq.gz,F-C-W5_S290_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W5
ITS2,F-C-W6,NA,NA,NA,NA,NA,NA,Site6,NA,F-C-W6_S326_L001_R1_001.fastq.gz,F-C-W6_S326_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-C-W6
ITS2,F-P-2,NA,NA,NA,NA,NA,NA,NA,Positive,F-P-2_S303_L001_R1_001.fastq.gz,F-P-2_S303_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,F-P-2
