site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site4,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Undetermined
Site4,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Undetermined
Site4,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Undetermined
Site4,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Acidibacter,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudolabrys,Undetermined
Site3,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia,Undetermined
Site4,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Undetermined
Site4,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudolabrys,Undetermined
Site5,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site6,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Undetermined
Site4,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Segetibacter,Undetermined
Site3,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Undetermined
Site3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Segetibacter,Undetermined
Site4,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
