"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"AMF-A-W1",52221,33650,33254,33221,31016,22836,0.562704659045212
"AMF-A-W2",57215,40191,39961,39875,7012,4875,0.914795071222582
"AMF-A-W3",19920,6443,6374,6409,6315,4865,0.755773092369478
"AMF-A-W4",23236,17297,17212,17192,16477,15238,0.34420726458943
"AMF-A-W5",28726,9177,9062,9022,4428,4151,0.855496762514795
"AMF-A-W6",19030,5976,5828,5720,2352,1971,0.896426694692591
"AMF-B-W1",41595,31,1,1,0,0,1
"AMF-B-W2",54454,27126,26769,26812,25969,19926,0.634076468211702
"AMF-B-W3",23811,8475,8385,8337,8080,5646,0.762882701272521
"AMF-B-W4",30929,38,3,4,3,3,0.999903003653529
"AMF-B-W6",9053,903,891,890,834,816,0.90986413343643
"AMF-C-W1",44104,27118,26833,26792,25526,13348,0.697351714130238
"AMF-C-W2",60944,37309,37197,37149,4322,3968,0.934891047519034
"AMF-C-W3",34617,22056,21885,21706,20574,17779,0.486408412051882
"AMF-C-W4",49400,38,14,1,0,0,1
"AMF-C-W5",35333,13022,12936,12940,12627,12468,0.647128746497608
"AMF-C-W6",34117,23856,23748,23726,23239,18718,0.451358560248556
"AMF-N-1",20962,31,3,2,0,0,1
"AMF-N-2",31014,1885,1826,1801,1625,1138,0.963306893660927
"AMF-N-3",20889,7241,7189,7170,7148,6102,0.707884532529082
"AMF-Neg1",10428,8,1,1,0,0,1
"AMF-Neg2",29844,1175,1133,1137,1015,886,0.970312290577671
"AMF-Neg3",6178,10,1,6,1,1,0.999838135318873
"AMF-Neg4",26299,15,2,4,2,2,0.999923951481045
"AMF-Neg5",23806,690,673,660,586,455,0.980887171301353
"AMF-P-3",38298,27027,26895,26968,26576,21030,0.450885163716121
"AMF-P-4",49810,35280,35184,35108,34676,25424,0.489580405541056
"AMF-P-5",31458,8365,8327,8316,8207,6458,0.794710407527497
"AMF-Pos1",25512,12757,12503,12653,10766,8624,0.661962997804954
"AMF-Pos2",25838,10013,9937,9901,9031,8023,0.689488350491524
"AMF-Pos3",16979,9785,9456,9505,7155,3897,0.770481182637376
"AMF-Pos4",15812,5611,5459,5465,4773,3983,0.748102706804958
"AMF-Pos5",17777,7506,7264,7165,6074,3600,0.797491140237385
"AMF-R-002",38528,4007,3971,3975,271,271,0.99296615448505
"AMF-R-003",34930,3851,3763,3774,3603,2917,0.91649012310335
"AMF-R-007",22742,10569,10415,10391,9498,6389,0.719066045202709
"AMF-R-008",32266,64,15,14,12,12,0.999628091489494
"AMF-R-012",55583,40936,40850,40896,40780,36190,0.348901642588561
"AMF-R-014",27070,13610,13505,13512,13154,9764,0.639305504248245
"AMF-R-016",24647,9383,9293,9315,9139,8409,0.658822574755548
"AMF-R-017",49827,34980,34818,34773,34447,25698,0.484255524113432
