site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site3,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,praecox
Site2,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Tylosporaceae,Amphinema,Undetermined
Site1,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,carbonaria
Site4,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,Tritirachiaceae,Paratritirachium,Undetermined
Site5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Neoschizotheciaceae,Jugulospora,Undetermined
Site1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Undetermined
Site5,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Undetermined
Site2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,bufonia
Site3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Cotylidia,undulata
Site2,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,finlandica
Site2,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,Undetermined
Site5,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site6,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha
Site5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Undetermined
Site6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Penicillaginaceae,Penicillago,nodositata
Site6,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Balsamia,latispora
Site1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,subbrunnea
Site4,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site6,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,opacum
Site6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Undetermined
Site5,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Penicillaginaceae,Penicillago,nodositata
Site3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Cotylidia,undulata
Site2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site2,Fungi,Ascomycota,Dothideomycetes,Gloniales,Gloniaceae,Cenococcum,Undetermined
Site1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,fructuodorus
Site4,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,cipronana
Site3,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Undetermined
Site3,Fungi,Ascomycota,Leotiomycetes,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,cipronana
Site6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Trichothecium,crotocinigenum
Site4,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,chlamydosporicum
Site6,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,Undetermined
Site5,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,elegans
Site2,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,Tritirachiaceae,Paratritirachium,Undetermined
Site1,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Undetermined,Undetermined
Site4,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Neoconiothyrium,hakeae
Site2,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,chlamydosporicum
Site2,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,Undetermined
Site1,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Undetermined
Site4,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha
