Amplicon,Host,Term,DF,SumOfSqs,R2,Statistic,P value
ITS2,Grand fir,inoculum_site,5,10.76311027328021,0.3383125339520874,6.73796708751726,0.001
ITS2,Grand fir,moisture,1,0.2682812528826588,0.008432777159209738,0.8397527323532369,0.659
ITS2,Grand fir,inoculum_site:moisture,5,1.6141236486837798,0.050736102096236656,1.0104804042577178,0.524
ITS2,Snowbrush,inoculum_site,5,7.8133640318852535,0.25418757428668576,4.692231895532238,0.001
ITS2,Snowbrush,moisture,1,0.8391358025786282,0.027299111277054755,2.519669991999873,0.003
ITS2,Snowbrush,inoculum_site:moisture,5,2.104035383599239,0.0684493450180898,1.263555863513329,0.059
16S,Grand fir,inoculum_site,5,6.062796759980668,0.25607344988876535,4.688556351889506,0.001
16S,Grand fir,moisture,1,0.4572085848980256,0.019311051365998814,1.7678707531578923,0.011
16S,Grand fir,inoculum_site:moisture,5,1.638738718060008,0.06921516481797041,1.2672895249208413,0.027
16S,Snowbrush,inoculum_site,5,4.737063692214033,0.1670373592632034,2.7874567716064664,0.001
16S,Snowbrush,moisture,1,1.1079064236393563,0.039066766955156325,3.2596577368758455,0.001
16S,Snowbrush,inoculum_site:moisture,5,2.121279714546982,0.07480012615387062,1.2482364369523138,0.005
