"species_sel","predictor","log_x","effect","term","estimate","std.error","statistic","df","p.value","interact","scale"
"Snowbrush","mutualist",TRUE,"fixed","(Intercept)",0.147653056700047,0.0471747317923073,3.1299183077523,44.9594439186754,0.00306871971603053,"drought","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","x",-0.0148867625780601,0.0146265883588802,-1.01778775834776,75.5742879998581,0.312026099948849,"drought","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","droughtND",0.182976148872722,0.0614917028137016,2.97562338494797,75.8869778458117,0.00392053862821035,"drought","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","x:droughtND",0.0338259962260439,0.0219013844644752,1.5444684002014,76.0285819739352,0.126627357897088,"drought","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","(Intercept)",0.215367899750324,0.0491100204399582,4.38541661805317,48.6915992231945,6.17808623652706e-05,"drought","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","x",0.0123770782883454,0.0178062701709042,0.695096624366052,76.6664892636377,0.489096176125386,"drought","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","droughtND",0.0751158604140822,0.0738012177920673,1.01781329172262,76.4388823677803,0.311977434927536,"drought","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","x:droughtND",-0.00957322874708656,0.0255077980824899,-0.375305963930231,76.6249589536829,0.708469825714151,"drought","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","(Intercept)",0.27090239743501,0.0523827436829204,5.17159618585115,51.5268931055174,3.84196483540157e-06,"drought","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","x",0.0411811270397181,0.0216886955102431,1.89873692589161,75.3523746763402,0.0614276130109018,"drought","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","droughtND",0.0593919252326763,0.0645652974739913,0.91987379530933,75.1765750342745,0.36058102283523,"drought","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","x:droughtND",-0.0186302215665578,0.028940947360661,-0.643732263992216,75.1936115899268,0.521707680947163,"drought","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","(Intercept)",0.235090722224104,0.0482812720144284,4.86919073204718,46.0442473068668,1.35913984356241e-05,"fire_freq","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","x",-0.00307029356535644,0.0228686454670416,-0.134257779708963,62.3071981169717,0.893631476206547,"fire_freq","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","fire_freq1",-0.212337224280151,0.0983986739850569,-2.15792770045252,62.8370323521591,0.0347626465739842,"fire_freq","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","fire_freq3",0.173290978891635,0.0974086049306288,1.77901099204785,62.1254334413431,0.080130043045515,"fire_freq","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","x:fire_freq1",-0.0657452410889034,0.0382073961828765,-1.72074644328599,62.8199774023455,0.0902192409353919,"fire_freq","log10(x+1e-6)"
"Snowbrush","mutualist",TRUE,"fixed","x:fire_freq3",0.0501490922027051,0.0363001690754757,1.38151125683284,62.1084403431172,0.172071632604206,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","(Intercept)",0.147573547205075,0.0894914586244269,1.64902382275837,65.7760008047,0.103911217133818,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","x",-0.0363456109547616,0.0328125586223324,-1.10767378347706,62.2482776796328,0.272264541931077,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","fire_freq1",-0.068452796616727,0.126863303156232,-0.539579176276273,62.1668797798317,0.591414775562958,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","fire_freq3",0.0172858438209981,0.111346642011107,0.155243512590832,62.094640937279,0.877132894596564,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","x:fire_freq1",-0.0119385130495107,0.0459538440790163,-0.259793566540001,62.1891616718426,0.795881171471129,"fire_freq","log10(x+1e-6)"
"Snowbrush","pathogen",TRUE,"fixed","x:fire_freq3",-0.012824649766863,0.0450458906857396,-0.284701880052357,62.1813739024582,0.776818593460136,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","(Intercept)",0.320898323419623,0.104450637635937,3.07224858251335,65.9904522517895,0.00308581793787225,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","x",0.035155880790921,0.0431440244770536,0.814849361343629,62.0961720789738,0.418272799889178,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","fire_freq1",0.000330027376658969,0.128621776802059,0.00256587480646345,62.5554460243525,0.997960895535018,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","fire_freq3",-0.11947903588645,0.123800936027326,-0.965089923553389,63.6276332125318,0.338153620028409,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","x:fire_freq1",0.0122459974731774,0.0541104447661716,0.226314855220581,62.6634327976688,0.821693147649419,"fire_freq","log10(x+1e-6)"
"Snowbrush","saprotroph",TRUE,"fixed","x:fire_freq3",-0.0788556143589513,0.0601095746648818,-1.31186445418356,64.1954730040175,0.194237939193817,"fire_freq","log10(x+1e-6)"
