,R-001,R-002,R-003,R-005,R-007,R-008,R-012,R-013,R-014,R-015,R-016,R-017,R-018,R-019,R-020,R-021,R-022,R-023,R-024,R-025,R-026,R-027,R-028,R-043,R-057,R-058,R-059,R-060,R-061,R-062,R-063,R-064,R-066,R-067,R-068,R-069,R-070,R-071,R-072,R-073,R-074,R-075,R-076,R-077,R-078,R-079,R-080,R-083,R-084,R-141,R-142,R-143,R-144,R-145,R-146,R-147,R-148,R-149,R-150,R-152,R-153,R-154,R-155,R-156,R-157,R-158,R-159,R-160,R-161,R-162,R-163,R-164,R-165,R-167,R-197,R-198,R-200,R-201,R-202,R-203,R-204,R-205,R-206,R-207,R-208,R-209,R-210,R-211,R-212,R-213,R-214,R-215,R-216,R-217,R-218,R-219,R-220,R-221,R-222,R-223,R-224,R-281,R-282,R-283,R-284,R-285,R-286,R-287,R-288,R-289,R-291,R-292,R-293,R-294,R-295,R-296,R-297,R-298,R-301,R-302,R-303,R-304,R-305,R-306,R-307,R-308,R-337,R-338,R-340,R-341,R-342,R-343,R-344,R-345,R-346,R-347,R-348,R-350,R-351,R-352,R-354,R-355,R-356,R-357,R-360,R-361,R-363,R-364
R-001,0,0.892485549132948,0.927167630057803,0.845279383429672,0.915221579961464,0.951252408477842,0.901541425818882,0.754527938342967,0.935838150289017,0.929865125240848,0.936801541425819,0.803660886319846,0.928323699421965,0.942967244701349,0.88766859344894,0.932755298651252,0.914643545279383,0.716763005780347,0.803082851637765,0.791329479768786,0.875915221579961,0.863969171483622,0.939499036608863,0.877649325626204,0.960308285163777,0.843352601156069,0.648362235067437,0.897109826589595,0.712909441233141,0.890173410404624,0.780539499036609,0.788631984585742,0.828901734104046,0.9373795761079,0.923506743737958,0.903660886319846,0.942389210019268,0.893256262042389,0.947591522157996,0.834489402697495,0.923699421965318,0.785163776493256,0.794605009633911,0.833911368015414,0.958188824662813,0.948362235067437,0.939306358381503,0.877456647398844,0.919845857418112,0.899421965317919,0.94354527938343,0.839691714836224,0.928323699421965,0.861849710982659,0.91233140655106,0.960500963391137,0.619845857418112,0.811946050096339,0.915606936416185,0.872061657032755,0.959730250481696,0.829865125240848,0.915221579961464,0.760115606936416,0.983044315992293,0.922543352601156,0.89402697495183,0.815028901734104,0.87514450867052,0.919653179190751,0.894605009633911,0.94393063583815,0.93121387283237,0.906743737957611,0.945279383429672,0.88728323699422,0.770712909441233,0.928901734104046,0.867244701348748,0.946242774566474,0.889595375722543,0.759344894026975,0.940655105973025,0.901348747591522,0.942003853564547,0.929287090558767,0.945279383429672,0.915992292870906,0.759344894026975,0.784585741811175,0.91271676300578,0.731791907514451,0.939113680154143,0.631984585741811,0.783622350674374,0.860693641618497,0.905587668593449,0.94354527938343,0.873988439306358,0.577071290944123,0.915414258188825,0.963583815028902,0.820616570327553,0.899614643545279,0.926204238921002,0.806743737957611,0.922928709055877,0.866473988439306,0.83718689788054,0.943159922928709,0.697687861271676,0.949132947976879,0.909055876685934,0.862042389210019,0.881888246628131,0.869942196531792,0.898458574181118,0.915221579961464,0.835260115606936,0.801926782273603,0.935067437379576,0.941618497109827,0.939113680154143,0.958959537572254,0.756647398843931,0.859344894026975,0.942389210019268,0.802312138728324,0.876107899807322,0.78728323699422,0.911560693641619,0.864354527938343,0.947784200385356,0.81233140655106,0.921387283236994,0.715799614643545,0.71868978805395,0.821579961464355,0.89364161849711,0.922543352601156,0.929094412331407,0.928516377649326,0.849325626204239,0.839306358381503,0.925433526011561,0.9747591522158,0.711946050096339,0.93121387283237
R-002,0.892485549132948,0,0.835452793834297,0.964161849710983,0.927360308285164,0.96281310211946,0.85626204238921,0.951252408477842,0.875915221579961,0.93140655105973,0.877263969171484,0.813680154142582,0.90655105973025,0.93102119460501,0.784778420038536,0.958188824662813,0.917341040462428,0.917148362235067,0.939306358381503,0.903468208092486,0.825433526011561,0.907514450867052,0.859152215799615,0.801348747591522,0.94990366088632,0.949325626204239,0.952601156069364,0.911946050096339,0.932755298651252,0.855491329479769,0.89383429672447,0.936416184971098,0.907129094412331,0.932369942196532,0.867244701348748,0.877649325626204,0.836030828516378,0.81233140655106,0.903853564547206,0.861271676300578,0.926011560693642,0.952023121387283,0.897495183044316,0.826396917148362,0.946242774566474,0.904431599229287,0.755491329479769,0.926974951830443,0.86223506743738,0.85645472061657,0.836030828516378,0.930635838150289,0.921965317919075,0.901156069364162,0.888053949903661,0.984585741811175,0.923506743737958,0.923699421965318,0.87514450867052,0.839884393063584,0.92466281310212,0.78111753371869,0.910211946050096,0.900963391136802,0.973603082851638,0.76840077071291,0.859152215799615,0.912909441233141,0.879190751445087,0.863005780346821,0.777842003853565,0.869364161849711,0.88728323699422,0.812909441233141,0.848747591522158,0.84971098265896,0.947013487475915,0.869942196531792,0.809633911368015,0.771290944123314,0.873217726396917,0.909441233140655,0.890366088631985,0.91271676300578,0.888824662813102,0.952793834296724,0.807129094412331,0.814258188824663,0.907707129094412,0.909441233140655,0.932177263969171,0.917726396917148,0.943352601156069,0.940847784200385,0.923699421965318,0.899421965317919,0.902697495183044,0.947398843930636,0.796146435452794,0.913680154142582,0.899421965317919,0.938535645472062,0.832177263969171,0.866473988439306,0.905202312138728,0.914643545279383,0.88092485549133,0.92485549132948,0.93102119460501,0.909441233140655,0.909633911368015,0.892870905587669,0.86897880539499,0.914836223506744,0.845472061657033,0.906936416184971,0.876878612716763,0.92485549132948,0.86897880539499,0.933911368015414,0.952408477842004,0.789210019267823,0.885934489402697,0.903275529865125,0.935452793834297,0.782273603082852,0.863583815028902,0.954335260115607,0.915221579961464,0.897495183044316,0.9121387283237,0.890173410404624,0.797109826589595,0.759344894026975,0.897109826589595,0.938150289017341,0.908863198458574,0.926396917148362,0.880732177263969,0.93757225433526,0.905780346820809,0.898651252408478,0.818111753371869,0.863583815028902,0.884971098265896,0.927552986512524,0.932947976878613,0.895568400770713
R-003,0.927167630057803,0.835452793834297,0,0.977071290944123,0.947013487475915,0.98747591522158,0.94373795761079,0.97514450867052,0.784778420038536,0.823506743737958,0.736801541425819,0.845279383429672,0.984007707129094,0.963005780346821,0.908477842003854,0.990751445086705,0.886897880539499,0.942196531791908,0.946050096339114,0.938921001926782,0.872639691714836,0.928323699421965,0.882273603082852,0.836223506743738,0.949325626204239,0.98747591522158,0.984007707129094,0.84354527938343,0.975529865125241,0.954720616570328,0.910019267822736,0.960693641618497,0.942003853564547,0.93776493256262,0.958766859344894,0.927167630057803,0.871483622350674,0.90655105973025,0.927360308285164,0.91868978805395,0.800578034682081,0.990173410404624,0.936801541425819,0.893063583815029,0.978034682080925,0.86859344894027,0.920423892100193,0.954913294797688,0.970134874759152,0.949325626204239,0.71868978805395,0.952215799614644,0.852601156069364,0.96897880539499,0.954527938342967,0.990751445086705,0.950481695568401,0.970712909441233,0.927167630057803,0.793256262042389,0.946435452793834,0.841618497109827,1,0.936416184971098,0.992485549132948,0.834489402697495,0.925433526011561,0.945857418111753,0.916955684007707,0.91849710982659,0.899614643545279,0.770520231213873,0.951830443159923,0.858766859344894,0.845664739884393,0.935452793834297,0.957418111753372,0.895761078998073,0.847976878612717,0.919460500963391,0.939691714836223,0.940077071290944,0.798843930635838,0.949518304431599,0.859344894026975,0.971483622350674,0.941618497109827,0.812909441233141,0.936416184971098,0.92504816955684,0.984200385356455,0.949132947976879,0.942581888246628,0.988631984585742,0.943352601156069,0.980346820809249,0.989595375722543,0.96897880539499,0.771676300578035,0.945472061657033,0.830443159922929,0.94971098265896,0.934104046242775,0.849518304431599,0.942581888246628,0.928131021194605,0.805394990366089,0.954142581888247,0.936994219653179,0.759152215799615,0.913680154142582,0.930443159922929,0.792870905587669,0.955491329479769,0.880154142581888,0.955105973025048,0.950674373795761,0.931984585741811,0.902697495183044,0.942003853564547,0.95645472061657,0.871483622350674,0.673410404624277,0.891329479768786,0.978034682080925,0.891329479768786,0.779190751445087,0.986319845857418,0.972447013487476,0.936223506743738,0.886512524084778,0.928901734104046,0.898073217726397,0.841811175337187,0.932755298651252,0.966088631984586,0.958959537572254,0.947591522157996,0.902312138728324,0.953564547206166,0.780346820809249,0.865317919075145,0.895375722543353,0.929094412331407,0.926011560693642,0.974373795761079,0.964739884393064,0.895568400770713
R-005,0.845279383429672,0.964161849710983,0.977071290944123,0,0.940655105973025,0.925626204238921,0.832755298651252,0.911368015414258,0.919267822736031,0.951637764932563,0.983815028901734,0.764739884393064,0.790558766859345,0.864932562620424,0.879383429672447,0.834104046242775,0.958959537572254,0.679768786127168,0.730635838150289,0.858381502890173,0.959537572254335,0.759730250481696,0.989788053949904,0.919460500963391,0.87495183044316,0.678998073217726,0.833140655105973,0.989210019267823,0.700385356454721,0.850674373795761,0.732369942196532,0.824084778420039,0.707514450867052,0.930635838150289,0.840077071290944,0.847976878612717,0.935260115606936,0.93718689788054,0.913487475915222,0.877842003853565,0.939306358381503,0.783622350674374,0.70597302504817,0.811368015414258,0.915414258188825,0.989402697495183,0.91233140655106,0.84393063583815,0.933140655105973,0.847398843930636,0.98111753371869,0.717533718689788,0.967244701348748,0.828516377649326,0.834104046242775,0.978998073217726,0.847206165703276,0.598651252408478,0.853179190751445,0.9121387283237,0.964932562620424,0.879768786127168,0.820423892100193,0.695375722543353,0.945086705202312,0.973603082851638,0.826396917148362,0.702697495183044,0.972639691714836,0.931791907514451,0.901541425818882,0.989017341040462,0.882658959537572,0.983815028901734,0.988246628131021,0.918304431599229,0.671483622350674,0.902504816955684,0.925818882466281,0.979576107899807,0.86242774566474,0.648169556840077,0.989210019267823,0.845472061657033,0.93718689788054,0.922928709055877,0.962042389210019,0.979768786127168,0.665510597302505,0.635260115606936,0.835838150289017,0.717148362235067,0.96878612716763,0.704624277456647,0.699614643545279,0.938150289017341,0.797495183044316,0.901926782273603,0.972254335260116,0.90635838150289,0.942196531791908,0.916763005780347,0.856647398843931,0.956840077071291,0.866666666666667,0.655298651252408,0.950867052023121,0.776685934489403,0.667437379576108,0.96242774566474,0.880154142581888,0.9626204238921,0.897687861271676,0.810019267822736,0.89364161849711,0.875529865125241,0.877263969171484,0.950674373795761,0.820809248554913,0.715414258188825,0.919653179190751,0.979961464354528,0.973988439306358,0.991714836223507,0.680539499036609,0.877456647398844,0.989788053949904,0.681888246628131,0.771676300578035,0.673217726396917,0.95009633911368,0.892870905587669,0.98747591522158,0.966281310211946,0.886512524084778,0.709248554913295,0.858766859344894,0.689210019267823,0.923314065510597,0.90655105973025,0.965510597302505,0.91849710982659,0.813872832369942,0.967437379576108,0.976300578034682,0.935452793834297,0.828131021194605,0.903660886319846
R-007,0.915221579961464,0.927360308285164,0.947013487475915,0.940655105973025,0,0.845279383429672,0.913680154142582,0.953564547206166,0.865895953757225,0.957225433526012,0.945472061657033,0.867630057803468,0.896724470134875,0.891136801541426,0.91868978805395,0.89383429672447,0.874566473988439,0.927745664739884,0.934489402697495,0.938342967244701,0.941811175337187,0.900963391136802,0.957418111753372,0.926396917148362,0.895761078998073,0.930443159922929,0.914065510597302,0.964161849710983,0.900578034682081,0.932177263969171,0.946435452793834,0.89402697495183,0.921579961464355,0.894990366088632,0.934682080924855,0.889980732177264,0.932177263969171,0.892678227360308,0.894990366088632,0.886897880539499,0.948554913294798,0.923506743737958,0.911946050096339,0.910404624277457,0.878805394990366,0.954527938342967,0.91888246628131,0.825818882466281,0.889595375722543,0.901156069364162,0.947013487475915,0.932562620423892,0.945086705202312,0.922350674373796,0.876300578034682,0.944894026974952,0.914836223506744,0.928323699421965,0.889210019267823,0.940462427745665,0.945664739884393,0.900963391136802,0.928709055876686,0.919845857418112,0.9121387283237,0.91252408477842,0.859152215799615,0.91907514450867,0.96223506743738,0.893063583815029,0.917726396917148,0.947398843930636,0.91271676300578,0.951830443159923,0.957418111753372,0.907129094412331,0.928516377649326,0.845664739884393,0.921001926782274,0.958188824662813,0.895761078998073,0.937957610789981,0.95645472061657,0.86840077071291,0.873988439306358,0.81252408477842,0.940269749518304,0.942967244701349,0.923699421965318,0.895568400770713,0.882273603082852,0.900385356454721,0.931984585741811,0.926011560693642,0.925433526011561,0.979383429672447,0.895375722543353,0.911753371868979,0.947591522157996,0.93140655105973,0.954142581888247,0.865317919075145,0.9121387283237,0.916184971098266,0.920616570327553,0.901156069364162,0.943352601156069,0.914258188824663,0.915221579961464,0.933140655105973,0.9121387283237,0.854527938342967,0.924084778420039,0.904816955684008,0.84412331406551,0.865125240847784,0.861849710982659,0.870905587668593,0.888053949903661,0.893063583815029,0.936223506743738,0.952023121387283,0.947784200385356,0.977263969171484,0.925818882466281,0.923892100192678,0.954142581888247,0.936416184971098,0.91233140655106,0.892100192678227,0.95626204238921,0.836416184971098,0.98111753371869,0.938150289017341,0.88150289017341,0.909633911368015,0.878420038535645,0.910211946050096,0.845086705202312,0.86281310211946,0.939499036608863,0.827938342967245,0.888824662813102,0.954335260115607,0.906743737957611,0.873025048169557,0.861849710982659,0.786512524084778
R-008,0.951252408477842,0.96281310211946,0.98747591522158,0.925626204238921,0.845279383429672,0,0.842967244701349,0.955105973025048,0.901348747591522,0.984393063583815,0.976493256262042,0.871676300578035,0.852986512524085,0.911946050096339,0.91849710982659,0.88131021194605,0.923699421965318,0.926974951830443,0.959152215799615,0.952023121387283,0.973025048169557,0.927167630057803,0.984007707129094,0.942389210019268,0.881695568400771,0.932369942196532,0.9373795761079,0.960886319845857,0.897302504816956,0.929094412331407,0.954913294797688,0.892678227360308,0.922543352601156,0.877071290944123,0.903468208092486,0.891329479768786,0.941040462427746,0.947784200385356,0.926204238921002,0.933140655105973,0.988631984585742,0.91868978805395,0.934296724470135,0.923314065510597,0.90655105973025,0.991329479768786,0.928709055876686,0.876878612716763,0.923892100192678,0.852215799614644,0.982466281310212,0.936801541425819,0.98728323699422,0.938342967244701,0.863391136801541,0.944123314065511,0.95626204238921,0.919267822736031,0.865510597302505,0.98092485549133,0.951252408477842,0.924084778420039,0.870327552986513,0.9121387283237,0.872447013487476,0.92485549132948,0.901156069364162,0.944894026974952,0.974373795761079,0.922543352601156,0.910982658959538,0.977456647398844,0.886512524084778,0.969364161849711,0.983815028901734,0.952408477842004,0.91907514450867,0.861271676300578,0.929287090558767,0.978612716763006,0.833333333333333,0.932369942196532,0.980539499036609,0.843352601156069,0.929672447013488,0.846435452793834,0.951252408477842,0.976878612716763,0.936608863198459,0.911368015414258,0.854335260115607,0.921387283236994,0.926782273603083,0.92504816955684,0.952986512524085,0.991329479768786,0.873410404624277,0.936416184971098,0.98131021194605,0.963391136801541,0.965510597302505,0.91252408477842,0.90616570327553,0.942196531791908,0.92504816955684,0.910019267822736,0.985549132947977,0.936608863198459,0.932562620423892,0.982273603082852,0.938535645472062,0.89344894026975,0.908863198458574,0.863198458574181,0.842967244701349,0.879383429672447,0.811560693641619,0.935838150289017,0.900963391136802,0.890751445086705,0.935452793834297,0.980732177263969,0.992678227360308,0.989402697495183,0.90616570327553,0.909826589595376,0.982851637764933,0.933333333333333,0.915799614643545,0.932369942196532,0.985356454720617,0.871290944123314,0.994412331406551,0.983044315992293,0.898651252408478,0.912909441233141,0.897880539499037,0.914065510597302,0.811560693641619,0.90019267822736,0.978420038535646,0.851830443159923,0.866666666666667,0.986127167630058,0.917533718689788,0.870905587668593,0.895183044315992,0.851252408477842
R-012,0.901541425818882,0.85626204238921,0.94373795761079,0.832755298651252,0.913680154142582,0.842967244701349,0,0.929094412331407,0.936030828516378,0.975915221579961,0.96281310211946,0.761464354527938,0.729287090558767,0.88728323699422,0.767437379576108,0.565125240847784,0.948169556840077,0.80655105973025,0.9252408477842,0.897302504816956,0.932947976878613,0.830250481695568,0.964739884393064,0.887861271676301,0.763391136801541,0.876107899807322,0.900578034682081,0.959922928709056,0.776685934489403,0.841618497109827,0.906743737957611,0.833911368015414,0.873410404624277,0.897880539499037,0.757418111753372,0.678612716763006,0.910982658959538,0.905780346820809,0.914258188824663,0.871676300578035,0.975722543352601,0.86840077071291,0.869749518304432,0.757996146435453,0.917341040462428,0.973410404624277,0.84412331406551,0.892678227360308,0.886127167630058,0.56242774566474,0.956647398843931,0.860500963391137,0.978805394990366,0.822543352601156,0.83121387283237,0.965895953757225,0.930250481695568,0.858188824662813,0.664161849710983,0.935838150289017,0.95606936416185,0.836608863198459,0.695761078998073,0.821387283236994,0.905587668593449,0.948747591522158,0.841425818882466,0.886127167630058,0.965317919075145,0.897687861271676,0.818111753371869,0.961271676300578,0.79402697495183,0.951445086705202,0.972832369942197,0.906936416184971,0.780539499036609,0.863391136801541,0.90655105973025,0.942196531791908,0.61252408477842,0.85028901734104,0.963198458574181,0.794605009633911,0.936994219653179,0.894605009633911,0.876878612716763,0.945664739884393,0.864161849710983,0.852793834296725,0.685934489402698,0.845857418111753,0.916955684007707,0.8626204238921,0.886705202312139,0.93776493256262,0.684393063583815,0.927552986512524,0.932369942196532,0.914836223506744,0.95009633911368,0.925818882466281,0.762042389210019,0.921001926782274,0.872639691714836,0.828323699421965,0.969556840077071,0.886319845857418,0.85626204238921,0.975915221579961,0.911753371868979,0.946050096339114,0.834874759152216,0.735838150289017,0.821001926782274,0.796531791907514,0.725818882466281,0.920616570327553,0.813487475915222,0.701926782273603,0.920809248554913,0.959730250481696,0.965125240847784,0.969364161849711,0.758574181117534,0.774566473988439,0.96242774566474,0.852793834296725,0.671868978805395,0.848747591522158,0.969942196531792,0.853949903660886,0.952793834296724,0.905587668593449,0.873025048169557,0.810404624277457,0.863391136801541,0.858959537572254,0.814836223506744,0.899229287090559,0.970905587668593,0.882658959537572,0.738921001926782,0.93776493256262,0.939691714836223,0.928516377649326,0.857610789980732,0.891907514450867
R-013,0.754527938342967,0.951252408477842,0.97514450867052,0.911368015414258,0.953564547206166,0.955105973025048,0.929094412331407,0,0.974373795761079,0.955298651252408,0.961849710982659,0.93121387283237,0.943352601156069,0.970327552986513,0.934682080924855,0.945857418111753,0.961464354527938,0.820616570327553,0.92485549132948,0.728323699421965,0.953564547206166,0.877842003853565,0.96859344894027,0.900385356454721,0.942967244701349,0.922928709055877,0.786512524084778,0.885163776493256,0.804624277456647,0.931791907514451,0.914065510597302,0.792292870905588,0.934104046242775,0.946820809248555,0.949518304431599,0.922157996146435,0.956840077071291,0.91907514450867,0.972832369942197,0.817919075144509,0.942774566473988,0.865895953757225,0.931984585741811,0.908863198458574,0.974181117533719,0.977263969171484,0.948169556840077,0.960693641618497,0.946820809248555,0.927552986512524,0.977649325626204,0.888246628131021,0.936801541425819,0.872254335260116,0.961657032755299,0.959344894026975,0.727745664739884,0.889980732177264,0.933911368015414,0.91252408477842,0.963776493256262,0.913487475915222,0.950481695568401,0.888246628131021,0.972447013487476,0.972061657032755,0.888439306358382,0.94354527938343,0.852601156069364,0.96859344894027,0.94354527938343,0.963583815028902,0.945472061657033,0.895568400770713,0.975722543352601,0.912909441233141,0.90597302504817,0.957418111753372,0.898843930635838,0.978227360308285,0.92504816955684,0.81233140655106,0.951445086705202,0.945664739884393,0.966473988439306,0.953949903660886,0.949132947976879,0.957225433526012,0.900963391136802,0.918304431599229,0.941425818882466,0.874181117533719,0.971098265895954,0.742196531791907,0.940655105973025,0.866859344894027,0.947976878612717,0.980539499036609,0.906936416184971,0.636608863198459,0.935260115606936,0.953757225433526,0.810982658959538,0.973988439306358,0.969556840077071,0.895183044315992,0.944894026974952,0.925818882466281,0.903468208092486,0.957996146435453,0.716184971098266,0.970905587668593,0.942967244701349,0.936608863198459,0.950674373795761,0.921194605009634,0.938921001926782,0.939691714836223,0.841618497109827,0.852023121387283,0.965510597302505,0.976300578034682,0.965703275529865,0.984393063583815,0.888053949903661,0.902504816955684,0.947976878612717,0.903853564547206,0.908863198458574,0.896724470134875,0.951830443159923,0.9252408477842,0.989595375722543,0.87533718689788,0.962042389210019,0.863776493256262,0.827167630057803,0.940462427745665,0.961464354527938,0.951059730250482,0.945472061657033,0.968208092485549,0.941233140655106,0.911368015414258,0.970712909441233,0.977263969171484,0.794605009633911,0.958188824662813
R-014,0.935838150289017,0.875915221579961,0.784778420038536,0.919267822736031,0.865895953757225,0.901348747591522,0.936030828516378,0.974373795761079,0,0.84990366088632,0.761657032755299,0.842774566473988,0.894219653179191,0.864932562620424,0.921194605009634,0.95626204238921,0.856840077071291,0.940269749518304,0.939113680154143,0.939884393063584,0.892678227360308,0.884778420038536,0.862042389210019,0.856647398843931,0.907899807321773,0.921772639691715,0.965125240847784,0.857610789980732,0.96281310211946,0.947398843930636,0.87533718689788,0.934489402697495,0.878998073217726,0.942389210019268,0.934682080924855,0.9121387283237,0.892485549132948,0.877071290944123,0.87533718689788,0.910404624277457,0.847976878612717,0.964161849710983,0.915992292870906,0.898843930635838,0.921579961464355,0.891329479768786,0.915414258188825,0.863391136801541,0.94354527938343,0.933718689788054,0.803275529865125,0.909633911368015,0.845664739884393,0.957803468208092,0.883044315992293,0.980154142581888,0.940655105973025,0.901734104046243,0.898265895953757,0.866088631984586,0.897109826589595,0.84971098265896,0.958381502890173,0.932369942196532,0.929287090558767,0.795375722543353,0.897109826589595,0.905587668593449,0.907707129094412,0.860308285163776,0.90019267822736,0.795568400770713,0.938535645472062,0.843159922928709,0.865895953757225,0.911753371868979,0.948362235067437,0.839499036608863,0.860500963391137,0.932369942196532,0.93718689788054,0.899229287090559,0.833718689788054,0.913294797687861,0.802697495183044,0.903660886319846,0.926974951830443,0.857032755298651,0.903853564547206,0.876685934489403,0.949132947976879,0.926589595375722,0.935260115606936,0.9626204238921,0.916377649325626,0.960693641618497,0.939306358381503,0.902504816955684,0.841233140655106,0.963005780346821,0.858188824662813,0.869556840077071,0.911946050096339,0.832562620423892,0.88111753371869,0.866473988439306,0.832562620423892,0.913487475915222,0.916377649325626,0.801541425818882,0.93121387283237,0.856647398843931,0.801348747591522,0.914836223506744,0.873603082851638,0.932177263969171,0.91252408477842,0.921965317919075,0.894797687861272,0.931984585741811,0.93121387283237,0.881695568400771,0.803853564547206,0.93757225433526,0.960308285163777,0.903275529865125,0.839306358381503,0.911368015414258,0.935067437379576,0.859152215799615,0.900770712909441,0.894219653179191,0.94354527938343,0.882080924855491,0.870712909441233,0.940655105973025,0.942389210019268,0.936223506743738,0.853179190751445,0.91252408477842,0.814643545279383,0.813680154142582,0.884200385356455,0.90635838150289,0.901541425818882,0.896146435452794,0.93776493256262,0.827938342967245
R-015,0.929865125240848,0.93140655105973,0.823506743737958,0.951637764932563,0.957225433526012,0.984393063583815,0.975915221579961,0.955298651252408,0.84990366088632,0,0.821965317919075,0.924470134874759,0.98092485549133,0.983236994219653,0.960693641618497,0.98766859344894,0.921579961464355,0.939884393063584,0.936608863198459,0.910404624277457,0.862042389210019,0.895568400770713,0.903275529865125,0.797495183044316,0.959730250481696,0.972061657032755,0.961464354527938,0.797495183044316,0.953179190751445,0.984200385356455,0.850867052023121,0.934874759152216,0.912909441233141,0.96897880539499,0.980539499036609,0.961078998073218,0.91888246628131,0.845664739884393,0.975529865125241,0.895761078998073,0.59402697495183,0.966473988439306,0.936223506743738,0.907129094412331,0.979383429672447,0.87533718689788,0.944315992292871,0.967630057803468,0.988246628131021,0.974181117533719,0.806743737957611,0.90635838150289,0.823121387283237,0.960693641618497,0.978805394990366,1,0.907899807321773,0.960693641618497,0.957418111753372,0.742389210019268,0.97514450867052,0.78131021194605,0.997880539499037,0.944315992292871,0.984007707129094,0.863583815028902,0.925626204238921,0.888631984585742,0.823121387283237,0.976107899807322,0.953757225433526,0.89364161849711,0.989595375722543,0.847784200385356,0.854527938342967,0.900385356454721,0.920231213872832,0.932755298651252,0.798651252408478,0.97495183044316,0.992870905587669,0.884778420038536,0.867822736030828,0.975722543352601,0.86878612716763,0.965510597302505,0.964547206165703,0.836994219653179,0.939884393063584,0.84990366088632,0.988824662813102,0.935838150289017,0.963583815028902,0.974373795761079,0.934874759152216,0.929287090558767,0.994219653179191,0.973410404624277,0.789017341040462,0.946050096339114,0.733333333333333,0.970905587668593,0.875529865125241,0.89364161849711,0.969749518304432,0.818304431599229,0.668015414258189,0.91868978805395,0.896531791907514,0.740462427745665,0.842967244701349,0.929672447013488,0.857996146435453,0.974181117533719,0.968208092485549,0.984778420038536,0.957610789980732,0.963776493256262,0.871483622350674,0.929865125240848,0.978227360308285,0.880539499036609,0.827360308285164,0.960886319845857,0.967437379576108,0.880154142581888,0.857418111753372,0.954913294797688,0.938150289017341,0.880539499036609,0.792678227360308,0.938728323699422,0.991329479768786,0.869556840077071,0.966281310211946,0.945279383429672,0.969749518304432,0.963391136801541,0.91271676300578,0.951059730250482,0.59980732177264,0.892100192678227,0.961657032755299,0.852408477842004,0.968015414258189,0.981695568400771,0.916763005780347,0.929865125240848
